time,option_type,reason
2025-10-31 10:05:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-31 10:10:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-31 10:15:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-31 10:20:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-31 10:25:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-31 10:30:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-31 10:35:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-31 10:50:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-31 10:55:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-31 11:00:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-31 11:05:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-31 11:10:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-31 11:15:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-31 11:20:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-31 11:25:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-31 11:30:00+05:30,,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.0}"
2025-10-31 11:35:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
2025-10-31 11:40:00+05:30,PE,"EntryScore < threshold | {'zone': 'missing', 'trend_inertia': 0.15}"
